Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,0.110000,0.110000,0.110000,0.110000,0.110000,100
2018-12-04,0.110000,0.110000,0.110000,0.110000,0.110000,0
2018-12-06,0.110000,0.110000,0.110000,0.110000,0.110000,1000
2018-12-07,0.110000,0.110000,0.110000,0.110000,0.110000,0
2018-12-10,0.090000,0.090000,0.070000,0.080000,0.080000,38300
2018-12-11,0.070000,0.100000,0.070000,0.100000,0.100000,1200
2018-12-12,0.080000,0.080000,0.080000,0.080000,0.080000,15000
2018-12-13,0.080000,0.100000,0.080000,0.100000,0.100000,1500
2018-12-14,0.100000,0.100000,0.100000,0.100000,0.100000,100
2018-12-17,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-12-18,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-12-19,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-12-20,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-12-21,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-12-24,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-12-26,0.070000,0.100000,0.070000,0.100000,0.100000,2200
2018-12-27,0.070000,0.070000,0.070000,0.070000,0.070000,1600
2018-12-28,0.070000,0.070000,0.070000,0.070000,0.070000,0
2018-12-31,0.070000,0.090000,0.070000,0.090000,0.090000,600
2019-01-02,0.090000,0.090000,0.090000,0.090000,0.090000,100
2019-01-03,0.090000,0.090000,0.090000,0.090000,0.090000,0
2019-01-04,0.090000,0.090000,0.090000,0.090000,0.090000,0
2019-01-07,0.090000,0.090000,0.090000,0.090000,0.090000,0
2019-01-08,0.070000,0.090000,0.060000,0.060000,0.060000,86600
2019-01-09,0.100000,0.100000,0.100000,0.100000,0.100000,200
2019-01-10,0.100000,0.100000,0.050000,0.100000,0.100000,1580100
2019-01-11,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-01-14,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-01-15,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-01-16,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-01-17,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-01-18,0.090000,0.100000,0.090000,0.100000,0.100000,100100
2019-01-22,0.060000,0.100000,0.060000,0.100000,0.100000,1100
2019-01-23,0.080000,0.090000,0.080000,0.090000,0.090000,15100
2019-01-24,0.070000,0.100000,0.070000,0.100000,0.100000,23800
2019-01-25,0.080000,0.080000,0.080000,0.080000,0.080000,22400
2019-01-28,0.070000,0.080000,0.070000,0.080000,0.080000,500
2019-01-29,0.080000,0.080000,0.080000,0.080000,0.080000,0
2019-01-30,0.080000,0.080000,0.080000,0.080000,0.080000,0
2019-01-31,0.080000,0.100000,0.080000,0.100000,0.100000,40700
2019-02-01,0.080000,0.080000,0.080000,0.080000,0.080000,273000
2019-02-04,0.080000,0.080000,0.080000,0.080000,0.080000,0
2019-02-05,0.080000,0.080000,0.080000,0.080000,0.080000,0
2019-02-06,0.090000,0.100000,0.090000,0.100000,0.100000,30000
2019-02-07,0.090000,0.100000,0.090000,0.090000,0.090000,55100
2019-02-08,0.090000,0.100000,0.090000,0.100000,0.100000,59800
2019-02-11,0.100000,0.100000,0.100000,0.100000,0.100000,9900
2019-02-12,0.100000,0.100000,0.100000,0.100000,0.100000,50600
2019-02-13,0.110000,0.110000,0.110000,0.110000,0.110000,26500
2019-02-14,0.110000,0.120000,0.110000,0.120000,0.120000,42100
2019-02-15,0.120000,0.130000,0.120000,0.130000,0.130000,32000
2019-02-19,0.130000,0.130000,0.090000,0.130000,0.130000,52800
2019-02-20,0.130000,0.130000,0.130000,0.130000,0.130000,0
2019-02-21,0.100000,0.110000,0.100000,0.110000,0.110000,24000
2019-02-22,0.110000,0.110000,0.110000,0.110000,0.110000,29900
2019-02-25,0.110000,0.130000,0.110000,0.130000,0.130000,68000
2019-02-26,0.130000,0.140000,0.130000,0.140000,0.140000,14300
2019-02-27,0.140000,0.140000,0.130000,0.130000,0.130000,32800
2019-02-28,0.130000,0.130000,0.100000,0.130000,0.130000,33200
2019-03-01,0.130000,0.130000,0.130000,0.130000,0.130000,0
2019-03-04,0.120000,0.130000,0.110000,0.130000,0.130000,15100
2019-03-05,0.130000,0.140000,0.130000,0.140000,0.140000,75500
2019-03-06,0.140000,0.140000,0.140000,0.140000,0.140000,0
2019-03-07,0.140000,0.140000,0.140000,0.140000,0.140000,100
2019-03-08,0.140000,0.150000,0.110000,0.110000,0.110000,84700
2019-03-11,0.110000,0.120000,0.110000,0.120000,0.120000,28600
2019-03-12,0.110000,0.120000,0.100000,0.100000,0.100000,12200
2019-03-13,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-03-14,0.100000,0.120000,0.090000,0.120000,0.120000,13300
2019-03-15,0.100000,0.110000,0.100000,0.110000,0.110000,15100
2019-03-18,0.110000,0.110000,0.110000,0.110000,0.110000,0
2019-03-19,0.110000,0.110000,0.110000,0.110000,0.110000,0
2019-03-20,0.120000,0.120000,0.120000,0.120000,0.120000,300
2019-03-21,0.120000,0.120000,0.120000,0.120000,0.120000,100
2019-03-22,0.120000,0.120000,0.120000,0.120000,0.120000,0
2019-03-25,0.120000,0.120000,0.120000,0.120000,0.120000,168200
2019-03-26,0.120000,0.130000,0.120000,0.120000,0.120000,91900
2019-03-27,0.110000,0.110000,0.110000,0.110000,0.110000,2000
2019-03-28,0.110000,0.110000,0.110000,0.110000,0.110000,100
2019-03-29,0.130000,0.140000,0.130000,0.140000,0.140000,63200
2019-04-01,0.140000,0.140000,0.140000,0.140000,0.140000,8000
2019-04-02,0.120000,0.140000,0.120000,0.130000,0.130000,7000
2019-04-03,0.130000,0.130000,0.130000,0.130000,0.130000,0
2019-04-04,0.140000,0.150000,0.130000,0.140000,0.140000,180000
2019-04-05,0.140000,0.140000,0.140000,0.140000,0.140000,823600
2019-04-08,0.140000,0.140000,0.140000,0.140000,0.140000,16100
2019-04-09,0.140000,0.140000,0.140000,0.140000,0.140000,1200
2019-04-10,0.140000,0.140000,0.140000,0.140000,0.140000,11800
2019-04-11,0.140000,0.140000,0.140000,0.140000,0.140000,20000
2019-04-12,0.140000,0.140000,0.140000,0.140000,0.140000,10000
2019-04-15,0.140000,0.140000,0.090000,0.140000,0.140000,59100
2019-04-16,0.140000,0.140000,0.140000,0.140000,0.140000,0
2019-04-17,0.140000,0.140000,0.140000,0.140000,0.140000,0
